Date,Total,Average Rating,Rating Count Strong Sell,Rating Count Moderate Sell,Rating Count Hold,Rating Count Moderate Buy,Rating Count Strong Buy,Action Count Initiated,Action Count Upgraded,Action Count Downgraded,Action Count Reiterated,Action Ratio Upgraded,Action Ratio Downgraded
2016-12-01,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-02,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-03,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-04,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-05,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-06,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-07,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-08,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-09,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-10,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-11,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-12,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-13,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-14,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-15,15.0,3.2,1.0,3.0,5.0,4.0,2.0,6.0,0.0,3.0,6.0,0.0,0.2
2016-12-16,15.0,3.27,1.0,3.0,4.0,5.0,2.0,6.0,1.0,3.0,5.0,0.07,0.2
2016-12-17,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-18,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-19,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-20,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-21,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-22,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-23,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-24,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-25,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-26,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-27,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-28,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-29,14.0,3.21,1.0,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,0.07,0.21
2016-12-30,13.0,3.15,1.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,4.0,0.08,0.23
2016-12-31,13.0,3.15,1.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,4.0,0.08,0.23
