DATE,GOLDPMGBD228NLBM
2015-11-02,1134.000
2015-11-03,1123.100
2015-11-04,1114.700
2015-11-05,1106.300
2015-11-06,1088.900
2015-11-09,1089.600
2015-11-10,1087.100
2015-11-11,1085.900
2015-11-12,1087.400
2015-11-13,1081.500
2015-11-16,1084.750
2015-11-17,1079.200
2015-11-18,1067.750
2015-11-19,1082.600
2015-11-20,1081.750
2015-11-23,1070.500
2015-11-24,1076.400
2015-11-25,1068.000
2015-11-26,1071.000
2015-11-27,1057.400
2015-11-30,1061.900
2015-12-01,1065.400
2015-12-02,1055.400
2015-12-03,1055.450
2015-12-04,1079.250
2015-12-07,1075.800
2015-12-08,1072.100
2015-12-09,1081.000
2015-12-10,1071.000
2015-12-11,1072.500
2015-12-14,1068.250
2015-12-15,1061.500
2015-12-16,1075.250
2015-12-17,1049.400
2015-12-18,1062.500
2015-12-21,1078.750
2015-12-22,1074.900
2015-12-23,1068.250
2015-12-24,.
2015-12-25,.
2015-12-28,.
2015-12-29,1070.100
2015-12-30,1060.000
2015-12-31,.
2016-01-01,.
2016-01-04,1082.250
2016-01-05,1077.000
2016-01-06,1091.400
2016-01-07,1106.350
2016-01-08,1101.850
2016-01-11,1100.750
2016-01-12,1085.400
2016-01-13,1088.150
2016-01-14,1088.400
2016-01-15,1093.750
2016-01-18,1089.200
2016-01-19,1086.250
2016-01-20,1101.750
2016-01-21,1096.500
2016-01-22,1096.250
2016-01-25,1106.600
2016-01-26,1113.600
2016-01-27,1116.250
2016-01-28,1114.000
2016-01-29,1111.800
2016-02-01,1126.500
2016-02-02,1128.500
2016-02-03,1132.000
2016-02-04,1156.350
2016-02-05,1150.350
2016-02-08,1193.250
2016-02-09,1191.000
2016-02-10,1190.000
2016-02-11,1241.000
2016-02-12,1239.750
2016-02-15,1208.200
2016-02-16,1209.500
2016-02-17,1210.000
2016-02-18,1210.100
2016-02-19,1231.150
2016-02-22,1211.000
2016-02-23,1221.350
2016-02-24,1250.750
